entity_type,entity_id,name,status,issues,fixes_applied
product,3537e8e9-8e55-5ab5-a2a8-39ce0d6027d1,ASIAN GRANITO LIMITED DOVER DARK,clean,,
product,355e9c4e-b2ab-51eb-9fb9-df607fffecef,BARCELONA ALMOND HL,clean,,
product,37e93bc7-2cb4-576d-a890-0cd9990f699e,BARCELONA 21263 HL,clean,,
product,3805048e-a1a8-5a36-a62a-2b22535b4d60,RANGE TRAVERTINO NATURAL DECOR,clean,,
product,38aba507-9eb2-5a35-9150-69a369bb8f81,BARCELONA MANDALA 601,clean,,
product,39d34017-79c6-5e6d-9f2d-7bff12f99bc4,BARCELONA 21507 L,clean,,
product,39f73695-6d67-5f51-afaf-81066645eb7e,BARCELONA ARGUS 616,clean,,
product,3af3e89a-9a6b-5996-8ea8-f9cc45c1cb88,VARMORA CARRARA SELTOS,clean,,
product,3c2539c1-7c47-5b1d-aa2c-a8a88123b01c,BARCELONA PAVAGARH 601,clean,,
product,3c7f8c7a-0a7e-5568-9fc7-07da551aa497,VARMORA BERLIN IVORY,clean,,
product,3d3c3ee7-0bd9-5554-8f7c-e951cc6f8fc2,ASIAN GRANITO LIMITED ALMONDI WOOD,clean,,
product,3d4c484b-e9af-5a31-8b59-34dbee8755ae,ETHICS 24320,clean,,
product,3d5f7917-aca0-5f9c-8f35-38b093aabe75,ETHICS GALICHA 160,clean,,
product,3e41abcd-6146-54ed-972a-b98af41b6e7d,BARCELONA DAKOTA HL1,clean,,
product,3f8f67b8-2929-5f6c-963e-71e8d5f98814,TAG 24152,clean,,
product,40725485-29d0-5998-8210-79a82e0e3b01,ANTIEK ATLANTA BROWN,clean,,
product,40d200bd-6fb2-5f59-8cca-0d50bf2a12bb,ASIAN GRANITO LIMITED TROPIC WHITE,clean,,
product,41ac97e9-40c2-5efe-9d36-eb7b7653e600,PORTOCER FALLON JUTE WHITE,clean,,
product,43e05565-f3d5-5ab5-a862-2b9bd9da1572,PENGVIN 2028 L,clean,,
product,44ad44a3-d3b0-5d05-931c-bc9fc9c2edc4,ASIAN GRANITO LIMITED DOVER LIGHT,clean,,
product,4686260b-76e7-5c1d-b2f9-5892e302f47d,BARCELONA ANAMUDI 625,clean,,
product,46bfe3c1-5de0-5bce-9099-09d87a22e1bd,JUBILY 33038 HL2 / 3978 HL1,clean,,
product,47c39ba8-dc45-502b-a130-f0c9239356a7,BARCELONA FORBES 613,clean,,
product,4886a91e-606b-5ee4-ae1b-f5163157da6d,LORICA 8159,clean,,
product,488a40ae-00f5-53b8-a009-349d86ca87e8,LIZZART ROCK BROWN,clean,,
product,490688de-6a41-578d-a935-c2b5ab934eb1,RANGE DUKE BIANCO,clean,,
product,4973ef63-1451-5963-823e-acc8cc942073,BARCELONA 21251 HL2,clean,,
product,497f2401-d846-5d14-8534-1aed2750fbab,BARCELONA SAGA WHITE,clean,,
product,49a47190-dc5f-5289-ae91-b2221059a886,REY CERA AMAZONITE AQUA ENDLESS,clean,,
product,4a8c17d0-ab2f-5e72-88ea-d7d2c317896b,VARMORA STATUARIO CLASSIC,clean,,
product,4b6cc35b-9606-5000-aa2a-9068e8d8bc18,VARMORA ORO BEIGE,clean,,
product,4bc378f2-1821-5b8a-9960-36ffcf0c53ed,TAG 24007,clean,,
product,4c01d6f3-1400-58c7-b8f6-491a0a156293,LIZZART ROCK BLACK,clean,,
product,4de098be-a29f-5f0b-b59d-edd1ef1f162c,BARCELONA BACKBONE 617,clean,,
product,4e6c8868-e2da-58b6-95d8-71adafa95c92,ETHICS GVITRA 143,clean,,
product,4eede8d4-49aa-515b-a74e-b487fa481074,ASIAN GRANITO LIMITED SOS 4002 DK,clean,,
product,4efca04b-ffe0-5f06-a7a6-75070de6dd1e,BARCELONA 21129 L,clean,,
product,4fa3f8ab-ccb5-5fe9-9243-c024f2ac7590,PENGVIN 2057 L,clean,,
product,4ff31050-f04d-59db-8978-c7e77908bbcd,RANGE CA MALTA L,clean,,
product,50de8af3-ab61-52b7-8b67-6434a17e15b8,ASIAN GRANITO LIMITED ULTRA SLATE,clean,,
product,5108b9b4-fb94-5485-82b3-fbc7eedde353,VARMORA AUGUSTUS GREY,clean,,
product,52450ac3-3ccf-589e-8cf6-c9b983dd7d89,BARCELONA 21181 HL2,clean,,
product,52a19b02-b462-576b-a502-38bd9474d690,CAPTIVA 3262 D,clean,,
product,5324449b-247d-5c5b-9560-95eefd24c7c3,SUNGLARE ROYAL ROSA,clean,,
product,533d96d7-8a90-584d-9be2-b36323bfc221,JUBILY 33038 HL1,clean,,
product,5422ce0c-ff87-54f1-a7da-1266fc9383f4,RANGE BRILLIO GRIS,clean,,
