product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
85d64acb-e2b2-54f9-b47e-90d553b58a75,TAG 25146,clean,6,0,0,0,0,0,0,
8703aad6-1283-5195-a298-4b75d1944a35,RANGE ONICE BIANCO,clean,15,0,0,0,54,54,54,
871393a2-f1b5-5a8a-8326-86bc861136a6,VARMORA LYON NERO,clean,3,0,0,0,0,0,0,
874685a8-b694-57ab-a95d-3054a022868f,ETHICS OLV-MC 51150 HL2,clean,10,0,0,0,114,114,114,
87bdb390-31b0-5721-a5d4-a1c1093f9c14,BARCELONA KERINCI 001,clean,2,0,0,0,90,90,90,
88597351-491b-546a-b5dd-a41f05a93e52,VARMORA ARMANI BIANCO,clean,4,0,0,0,5,5,5,
89754a85-46cd-5f5f-8a8a-75f87e7bd79f,TAG 24802 DECOR,clean,13,0,0,0,40,40,40,
8a616373-467d-590b-ac47-845183901342,ETHICS GVITRA 111,clean,5,0,0,0,0,0,0,
8b432742-2dd4-5150-b498-77fd8becf5aa,BARCELONA SAGA GREY,clean,21,0,0,0,3,3,3,
8b90f61e-6472-52fc-9e91-983a0546ae9b,LIZZART ROCK BLACK,clean,18,0,0,0,2,2,2,
8ca19085-e82a-5903-9348-118ba09f328c,ALIVE EVOCA GREY ENDLESS,clean,5,0,0,0,72,72,72,
8dac62c0-a3f5-53b1-ad25-3be2d83b366c,PASSERO MURFI PINE HERRINGBONE,clean,27,0,0,0,3,3,3,
8db1175f-ad2e-5fd6-a1cf-45ef66ed19e8,LIZZART ROCK SILVER,clean,23,0,0,0,0,0,0,
8e53584b-ec6a-5b6b-826f-4c1c217f6c7b,BARCELONA 21507 D,clean,9,0,0,0,57,57,57,
901ca06f-f8f6-5c12-a516-2f3143b7f6d7,ALIVE OPTICAL WHITE ENDLESS,clean,10,0,0,0,10,10,10,
9023b5c6-3901-5689-90c1-c3716054cf51,BARCELONA SAGA BLACK,clean,14,0,0,0,34,34,34,
92416e06-ca81-517b-943e-fce402d56961,TAG 24187,clean,47,0,0,0,0,0,0,
924ba57d-6237-55d3-a93c-7791de292d62,BARCELONA ATLAS 009,clean,31,0,0,0,30,30,30,
9317ec0f-fc3d-5150-8524-13349679e440,LIZZART ROCK ALMOND,clean,26,0,0,0,43,43,43,
93425ffc-afa6-535f-998a-425ef766f457,REY CERA PREXURY GREEN,clean,8,0,0,0,166,166,166,
936b4af6-e0fc-5d61-ae5f-c80f01430f4b,BARCELONA DODDABETTA 601,clean,38,0,0,0,153,153,153,
93813d71-71c3-5d4a-86fe-1df671ab2c81,TAG 24134,clean,5,0,0,0,0,0,0,
9478fa7a-0a4a-5456-9a1a-8f816a858a07,VARMORA ZERON IVORY,clean,4,0,0,0,22,22,22,
9485902d-ebe4-5bc6-8609-b8abbcdd166d,BARCELONA 21051 HL1,clean,12,0,0,0,51,51,51,
94d9808b-fe7b-5706-a48f-bf306cfb9624,COVERTEK ROCKER ORION BEIGE,clean,6,0,0,0,0,0,0,
972eda6f-cb21-50cd-a00f-c200c4f17adb,JUBILY 31200 D,clean,14,0,0,0,125,125,125,
9801bac0-cd7e-5e9d-80c4-a05b877d6a7e,BARCELONA HARDEOL 627,clean,166,0,0,0,380,380,380,
98238e63-2875-5266-8bb2-2ac18078ae0a,ANTIEK BORGHINI BROWN,clean,7,0,0,0,36,36,36,
99cdd676-8f49-5f90-8fe7-87a28a54ef0b,SUNGLARE MELODY,clean,18,0,0,0,0,0,0,
9b2b6613-13b3-5af6-beac-fd838fb21a9c,VARMORA MIAMI GREY,clean,2,0,0,0,2,2,2,
9bb94740-c46c-5ae1-a704-4f8129eb38ed,BARCELONA ANAMUDI 628,clean,2,0,0,0,176,176,176,
9c12c621-d0ca-5691-8caa-f015f195406d,COVERTEK ROCKER KASHMIRI BROWN,clean,13,0,0,0,0,0,0,
9c7205cf-479d-56e2-93ae-6bb463aca98e,ANTIEK MOHAK SHILA,clean,11,0,0,0,4,4,4,
9c9df778-c044-5a1b-a6fe-ba2ccc11d115,VARMORA ASTONIA GOLD,clean,2,0,0,0,1,1,1,
